# id	left	top	right	bottom	texture_id
[SPRITES]
##SPRITE NULL
2	40	32	56	48	40

#GROUND
100000	112	128	127	143	200
100001	128	128	143	143	200
100002	144	128	159	143	200

#GOUND_2
100010	0	144	15	159	200
100011	16	144	31	159	200
100012	32	144	47	159	200

#RED
100020	64	16	79	31	200
100021	80	16	95	31	200
100022	96	16	111	31	200

#GREEN

100030	0	48	15	63	200
100031	16	48	31	63	200
100032	32	48	47	63	200

#BLUE

100040	128	64	143	79	200
100041	144	64	159	79	200
100042	160	64	175	79	200

#WHITE	
100050	160	48	175	63	200
100051	0	64	15	79	200
100052	16	64	31	79	200

#PIPE

100060	160	0	175	15	200
100061	0	16	15	31	200

100070	32	16	47	31	200
100071	48	16	63	31	200

#DARK PIPE

100080	48	0	63	15	210
100081	64	0	79	15	210

100090	16	0	31	15	210
100091	31	0	47	15	210

